name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Virtue Training And Placement Services,"Office No. 711, 5th Floor, Anchor Mall, Ajmer Rd, Madrampur, Ganpati Nagar, Jaipur, Rajasthan 302006",virtueplacement.com,073000 00770,,,26.8992034,75.805491
CONVERSE PLACEMENT SERVICES INDIA PVT LTD JAIPUR,"C 86 B NANDKISHORE, Pareek Marg, behind KANODIA COLLEGE, Bapu Nagar, Jaipur, Rajasthan 302015",conversejob.com,072300 00026,,,26.8992034,75.805491
Opporrtunity Placement Services,"Second Floor S1, S2, Vodafone Store, Shri Hans Marg, JDA Market, Keshav Vihar, Arjun Nagar, Jaipur, Rajasthan 302015",opsplacement.com,098877 77708,,,26.9090639,75.6700696
Jobingo HR Solutions (P) Ltd.,"Office No.: 3, 3rd Floor, Siddhi Vinayak Complex, Adarsh Basti, Saraswati Colony, Tonk Phatak, Jaipur, Rajasthan 302015",jobingohrsolutions.com,092517 69666,,4.8,26.8869487,75.6681636
JOBHUB Consultants,"307,Third Floor, Trimurti V-Jai City Point, Ahinsa Circle, Ashok Marg, C Scheme, Jaipur, Rajasthan 302001",jobhubindia.com,098297 15432,,,26.8869487,75.6681636
