name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Fitline Jaipur - Harish Stores - India's Premium Gym Equipment Showroom,"F - 21 (A1, Malviya Nagar Industrial Area, Malviya Nagar, Jaipur, Rajasthan 302017",,,,,26.8992034,75.805491
Anytime Fitness Bapu Nagar,"5th Floor, Pavilion, Tonk Rd, Bapu Nagar, Jaipur, Rajasthan 302015",,090574 03330,,,26.8992034,75.805491
Fitness island gym (Lalkothi),"A1, Nehru Path, Satya Vihar, Friends Colony, Krishna Nagar II, Lalkothi, Jaipur, Rajasthan 302015",,086397 36126,,,26.8677878,75.7219366
